application_id,lodged_date,decision_date,status_name
3209026,2017-07-28 00:00:00.000,NULL,Planner Assessment
3209070,2017-01-09 00:00:00.000,NULL,Preliminary Assessment
3211156,2017-01-17 00:00:00.000,NULL,Planner Assessment
3211187,NULL,NULL,New Application
3226446,2017-03-07 00:00:00.000,2017-05-03 00:00:00.000,Appeal Complete
3226830,2017-03-07 00:00:00.000,NULL,Planner Assessment
3226831,NULL,NULL,New Application
3227111,2017-03-17 00:00:00.000,2017-03-17 00:00:00.000,Superseded
3227112,2017-03-09 00:00:00.000,NULL,Certified
3230956,2017-03-31 00:00:00.000,2017-03-31 00:00:00.000,Appeal Complete
3230957,2017-07-24 00:00:00.000,NULL,Lodged
3232471,2017-05-09 00:00:00.000,2017-08-29 00:00:00.000,Application Complete
3232472,NULL,NULL,New Application
3234493,NULL,NULL,New Application
3238066,2017-07-24 00:00:00.000,NULL,Ready To Send To Council For Authorisation
3238336,NULL,NULL,New Application
3238355,NULL,NULL,New Application
3238613,2017-07-31 00:00:00.000,NULL,Council Decision Pending
3238668,2017-07-31 00:00:00.000,NULL,Ready To Send To Council For Consideration
3239032,2017-08-01 00:00:00.000,NULL,New Application
3239033,NULL,NULL,New Application
3239333,2017-08-03 00:00:00.000,NULL,Preliminary Assessment
3239352,2017-08-03 00:00:00.000,NULL,Preliminary Assessment
3239442,2017-08-04 00:00:00.000,NULL,Preliminary Assessment
3239455,2017-08-04 00:00:00.000,NULL,Preliminary Assessment
3240303,2017-08-24 00:00:00.000,NULL,Allocated
3240304,2018-10-29 00:00:00.000,NULL,Lodged
3240351,2017-08-24 00:00:00.000,NULL,Advertising
3240352,NULL,NULL,New Application
3241606,2017-09-06 00:00:00.000,2017-09-21 00:00:00.000,Appealed
3241607,NULL,NULL,New Application
3241657,NULL,NULL,New Application
3241748,2017-09-07 00:00:00.000,NULL,Planner Assessment
3241775,2017-09-11 00:00:00.000,2017-09-11 00:00:00.000,Superseded
3241776,NULL,NULL,New Application
3241851,2019-01-10 00:00:00.000,2019-04-02 00:00:00.000,Application Complete
3241903,2017-09-14 00:00:00.000,2017-09-14 11:32:55.227,Withdrawn
3253349,NULL,NULL,New Application
3253350,NULL,NULL,New Application
3259730,2017-12-12 00:00:00.000,NULL,Allocated
3259731,NULL,NULL,New Application
3266351,2018-01-23 00:00:00.000,NULL,Planner Assessment
3266352,NULL,NULL,New Application
3266384,2018-01-23 00:00:00.000,2019-06-21 00:00:00.000,Application Complete
3270762,NULL,NULL,Allocated
3270815,2018-03-01 00:00:00.000,NULL,Ready For Decision
3279813,2018-02-21 00:00:00.000,2018-02-22 00:00:00.000,Withdrawn
3279823,2018-02-21 00:00:00.000,NULL,Lodged
3279946,2018-02-21 00:00:00.000,NULL,Lodged
